"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent","time","ID"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",60,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",20,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",10,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",60,"Current","Fundamental Current"
"Saskatchewan","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",60,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",80,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",90,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",40,"Current","Fundamental Current"
"Massachusetts","USA","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",10,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",90,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",40,"Current","Fundamental Current"
"Saskatchewan","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",30,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",60,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"Fundamental",20,"Current","Fundamental Current"
"Poland","Poland","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",50,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"Fundamental",70,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",100,"Current","Fundamental Current"
"Tanzania","Tanzania","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,"Fundamental",20,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",30,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",60,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"Germany","Germany","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",20,"Current","Fundamental Current"
"Italy","Italy","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",10,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",50,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"California","USA","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",60,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",90,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"New Mexico","USA","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",90,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"","","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Denmark","Denmark","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",10,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",90,"Fundamental",80,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",40,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",50,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",60,"Current","Fundamental Current"
"Greece","Greece","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",60,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"France","France","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",10,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",100,"Fundamental",0,"Current","Fundamental Current"
"Denmark","Denmark","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",60,"Current","Fundamental Current"
"","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",70,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",40,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",10,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",40,"Current","Fundamental Current"
"Newfoundland and Labrador","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",60,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",90,"Fundamental",60,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"Germany","Germany","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",90,"Fundamental",10,"Current","Fundamental Current"
"Cameroon","Cameroon","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",40,"Current","Fundamental Current"
"","","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Netherlands","Netherlands","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",0,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",60,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",40,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",50,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",90,"Current","Fundamental Current"
"Quebec","Canada","Canada","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"Fundamental",0,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",40,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"France","France","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,"Fundamental",50,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",90,"Fundamental",70,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",60,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",90,"Fundamental",70,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",60,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,"Fundamental",50,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",70,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"Manitoba","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",50,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",50,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",0,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",100,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,"Fundamental",50,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",0,"Current","Fundamental Current"
"","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",70,"Current","Fundamental Current"
"","","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"Fundamental",30,"Current","Fundamental Current"
"Germany","Germany","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",70,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",50,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"Quebec","Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",100,"Fundamental",0,"Current","Fundamental Current"
"Newfoundland and Labrador","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",0,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",100,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",60,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",30,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",20,"Current","Fundamental Current"
"Newfoundland and Labrador","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",100,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",50,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Quebec","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",60,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",60,"Current","Fundamental Current"
"Saskatchewan","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",10,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"Manitoba","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",30,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",50,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,"Fundamental",60,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",70,"Current","Fundamental Current"
"Newfoundland and Labrador","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",90,"Current","Fundamental Current"
"","","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"Fundamental",0,"Current","Fundamental Current"
"Manitoba","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",0,"Current","Fundamental Current"
"Alberta","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",40,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"Fundamental",70,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",90,"Fundamental",60,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",30,"Current","Fundamental Current"
"","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",0,"Current","Fundamental Current"
"Washington","USA","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",80,"Current","Fundamental Current"
"","","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"Fundamental",40,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",10,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",20,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
"","","Canada","","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",50,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",30,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,"Fundamental",20,"Current","Fundamental Current"
"Michigan","USA","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",60,"Current","Fundamental Current"
"Nova Scotia","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"Fundamental",10,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"Fundamental",0,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",100,"Fundamental",0,"Current","Fundamental Current"
"Newfoundland and Labrador","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"","","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",10,"Current","Fundamental Current"
"Ontario","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",0,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"Fundamental",40,"Current","Fundamental Current"
"British Columbia","Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"Fundamental",80,"Current","Fundamental Current"
"Ontario","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",130,"Fundamental",46.1538461538462,"Current","Fundamental Current"
"New Brunswick","Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"Fundamental",30,"Current","Fundamental Current"
"Korea","Korea","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"Fundamental",90,"Current","Fundamental Current"
